first_order_date,last_order_date,orders,quantity,revenue,postal_code,city,country,today,days_since_order,id,order_ids
2020-02-25 11:10:00,2020-02-25 11:10:00,1,3,29.0,5066 VL,Moergestel,NL,2020-06-18 00:00:00,113 ,12454686254723519126,6801471777896759734
2020-02-26 22:53:00,2020-02-26 22:53:00,1,3,29.0,3224 XR,hellevoetsluis,NL,2020-06-18 00:00:00,112 ,14193469830179517822,6540189430178467868
2020-02-26 20:49:00,2020-02-26 20:49:00,1,3,29.0,3028 HD,Rotterdam,NL,2020-06-18 00:00:00,112 ,14878423303221743276,6791635643385937897
2020-02-27 22:23:00,2020-02-27 22:23:00,1,1,38.0,1910,Kampenhout,BE,2020-06-18 00:00:00,111 ,14992801942239678670,13478670436334451533
2019-08-05 08:34:00,2020-02-28 16:19:00,1,1,8.0,1094 TV,Amsterdam,NL,2020-06-18 00:00:00,110 ,4416649676490594268,13950925525352748640
2020-06-06 19:45:00,2020-06-06 19:45:00,1,6,70.0,8931 CC,LEEUWARDEN,NL,2020-06-18 00:00:00,11 ,13304906185202287278,372276839743152819
2020-02-29 14:17:00,2020-02-29 14:17:00,1,3,29.0,3274 NA,Heinenoord,NL,2020-06-18 00:00:00,109 ,26997873322694297,6847384149943038804
2020-02-29 00:01:00,2020-02-29 00:01:00,1,1,38.0,5702 VH,Helmond,NL,2020-06-18 00:00:00,109 ,15625895772108115811,7891936257661180009
2017-06-26 13:17:38,2017-06-26 13:17:38,1,1,3.3,3931WH,Woudenberg,NL,2020-06-18 00:00:00,1087 ,9341694438635507534,13880212243235202331
2020-03-01 22:04:00,2020-03-01 22:04:00,1,1,15.0,2215 DR,voorhout,NL,2020-06-18 00:00:00,108 ,10952208278714511196,16440673641773508653
2017-07-12 08:48:34,2017-07-12 08:48:34,1,3,9.91,3141SB,Maassluis,NL,2020-06-18 00:00:00,1071 ,14353195156174107536,14664680826001112543
2017-07-20 07:57:30,2017-07-20 07:57:30,1,1,3.3,3181NK,Rozenburg,NL,2020-06-18 00:00:00,1063 ,17617498753649588930,5307472350957006829
2017-07-25 17:31:36,2017-07-25 17:31:36,2,12,99.86,5611JX,Eindhoven,NL,2020-06-18 00:00:00,1058 ,3961376605647432897,14759198898335787093
2017-07-29 02:37:59,2017-07-29 02:37:59,1,1,3.3,2552RW,s-Gravenhage,NL,2020-06-18 00:00:00,1054 ,8846835157324332408,1835086413733703333
2017-08-02 22:03:11,2017-08-02 22:03:11,1,1,3.3,4631EA,Hoogerheide,NL,2020-06-18 00:00:00,1050 ,9412031116387159176,788403382674346007
2020-03-04 11:11:00,2020-03-04 11:11:00,1,3,29.0,5709 LJ,Helmond,NL,2020-06-18 00:00:00,105 ,5335643931999274778,3166004725126923951
2017-08-15 19:52:32,2017-08-15 19:52:32,1,1,3.3,5614HD,Eindhoven,NL,2020-06-18 00:00:00,1037 ,7366700763923036163,14435898343889385569
2017-08-24 10:17:03,2017-08-24 10:17:03,1,1,5.79,1066JD,Amsterdam,NL,2020-06-18 00:00:00,1028 ,1477076795264459427,1285663640343972243
2017-08-28 23:43:27,2017-08-28 23:43:27,1,1,4.72,4854ER,Bavel,NL,2020-06-18 00:00:00,1024 ,724886493727522501,6104031644040520337
2017-09-15 17:02:52,2017-09-15 17:02:52,1,2,5.94,1051XS,Amsterdam,NL,2020-06-18 00:00:00,1006 ,12245595291383653070,15020420061133478993
2020-03-09 12:50:00,2020-03-09 12:50:00,1,3,29.0,8911 DS,Leeuwarden,NL,2020-06-18 00:00:00,100 ,2923691820477789580,9875154782655611572
2020-03-09 21:22:00,2020-03-09 21:22:00,1,3,29.0,2991 LD,Barendrecht,NL,2020-06-18 00:00:00,100 ,11955326381462714367,226852968295271807
2020-06-07 21:56:00,2020-06-07 21:56:00,1,2,23.0,1016 HZ,Amsterdam,NL,2020-06-18 00:00:00,10 ,6696390494039661292,15993959785218874342
2020-06-16 11:14:00,2020-06-16 11:14:00,1,4,30.0,5371 DA,Ravenstein,NL,2020-06-18 00:00:00,1 ,4695018569255604949,8062624639980913744
