order_number,quantity,item_set,items
775,4,0,"bombilla, yerba mate, kalebas"
776,4,0,"bombilla, yerba mate, kalebas"
778,5,0,yerba mate
780,3,0,"bombilla, yerba mate, kalebas"
781,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
782,3,0,"bombilla, yerba mate, kalebas"
783,3,0,"bombilla, yerba mate, kalebas"
784,3,0,"bombilla, yerba mate, kalebas"
785,3,0,"bombilla, yerba mate, kalebas"
786,3,0,"bombilla, yerba mate, kalebas"
787,3,0,"bombilla, yerba mate, kalebas"
788,3,0,"bombilla, yerba mate, kalebas"
789,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
790,3,0,"bombilla, yerba mate, kalebas"
791,3,0,"bombilla, yerba mate, kalebas"
792,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
793,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
794,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
795,3,0,"bombilla, yerba mate, kalebas"
796,3,0,"bombilla, yerba mate, kalebas"
797,3,0,"bombilla, yerba mate, kalebas"
798,3,0,"bombilla, yerba mate, kalebas"
799,7,0,"bombilla, yerba mate, kalebas"
800,3,0,"bombilla, yerba mate, kalebas"
801,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
803,3,0,"bombilla, yerba mate, kalebas"
804,3,0,"bombilla, yerba mate, kalebas"
805,3,0,"bombilla, yerba mate, kalebas"
806,3,0,"bombilla, yerba mate, kalebas"
807,3,0,"bombilla, yerba mate, kalebas"
808,3,0,"bombilla, yerba mate, kalebas"
809,3,0,"bombilla, yerba mate, kalebas"
810,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
811,3,0,"bombilla, yerba mate, kalebas"
812,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
813,3,0,"bombilla, yerba mate, kalebas"
814,1,0,kalebas
815,3,0,"bombilla, yerba mate, kalebas"
817,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
818,4,0,"bombilla, yerba mate, kalebas"
820,4,0,"bombilla, yerba mate, kalebas, cadeauverpakking"
821,3,0,"bombilla, yerba mate, kalebas"
822,3,0,"bombilla, yerba mate, kalebas"
823,3,0,"bombilla, yerba mate, kalebas"
824,2,0,"kalebas, bombilla"
825,1,0,kalebas
826,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
827,3,0,"bombilla, yerba mate, kalebas"
828,3,0,"bombilla, yerba mate, kalebas"
829,2,1,"yerba mate 100 gram, bombilla, kalebas, mateology, cadeauverpakking"
830,1,0,bombilla
831,1,0,bombilla
832,1,0,bombilla
833,1,0,yerba mate
834,3,0,"bombilla, yerba mate, kalebas"
835,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
836,1,0,bombilla
837,3,0,"bombilla, yerba mate, kalebas"
839,3,0,"bombilla, yerba mate, kalebas"
840,3,0,"bombilla, yerba mate, kalebas"
841,3,0,"bombilla, yerba mate, kalebas"
842,3,0,"bombilla, yerba mate, kalebas"
843,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
844,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
845,3,0,"bombilla, yerba mate, kalebas"
846,3,0,"bombilla, yerba mate, kalebas"
848,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
849,3,0,"bombilla, yerba mate, kalebas"
850,1,0,kalebas
851,3,0,"bombilla, yerba mate, kalebas"
852,3,0,"bombilla, yerba mate, kalebas"
853,1,0,yerba mate
854,3,0,"bombilla, yerba mate, kalebas"
