"Order Number","Item Name","Item #",Quantity,"Item Cost"
878,Kalebas,1,1,15
877,"Yerba mate set",1,1," -2"
877,"Yerba mate - 500 gram",2,1,20
877,Bombilla,3,1,8
877,Kalebas,4,1,15
876,"Yerba mate - 500 gram",1,1,20
875,"Yerba mate set",1,1," -2"
875,"Yerba mate - 100 gram",2,1,8
875,Bombilla,3,1,8
875,Kalebas,4,1,15
874,"Yerba mate set",1,1," -2"
874,"Yerba mate - 500 gram",2,1,20
874,Bombilla,3,1,8
874,Kalebas,4,1,15
873,"Yerba mate set",1,1," -2"
873,"Yerba mate - 500 gram",2,1,20
873,Bombilla,3,2,8
873,Kalebas,4,2,15
873,"Mateology - The Drink Beyond a Drink",5,1,15
872,"Yerba mate set",1,1," -2"
872,"Yerba mate - 500 gram",2,1,20
872,Bombilla,3,2,8
872,Kalebas,4,2,15
872,"Mateology - The Drink Beyond a Drink",5,1,15
871,"Yerba mate set",1,1," -2"
871,"Yerba mate - 100 gram",2,1,8
871,Bombilla,3,1,8
871,Kalebas,4,1,15
866,"Yerba mate set (kopie)",1,1,29
865,"Yerba mate set",1,1," -2"
865,Bombilla,2,1,8
865,"Yerba mate",3,1,8
865,Kalebas,4,1,15
864,"Yerba mate",1,1,8
864,"Yerba mate set",2,1," -2"
864,Bombilla,3,1,8
864,"Yerba mate",4,1,8
864,Kalebas,5,1,15
863,"Yerba mate set",1,2," -2"
863,Bombilla,2,2,8
863,"Yerba mate",3,2,8
863,Kalebas,4,2,15
862,"Yerba mate set",1,1," -2"
862,Bombilla,2,1,8
862,"Yerba mate",3,1,8
862,Kalebas,4,1,15
861,"Yerba mate set",1,1," -2"
861,Bombilla,2,1,8
861,"Yerba mate",3,1,8
861,Kalebas,4,1,15
860,"Yerba mate set",1,1," -2"
860,Bombilla,2,1,8
860,"Yerba mate",3,1,8
860,Kalebas,4,1,15
860,"Yerba mate",5,1,8
858,"Yerba mate set compleet",1,1,38
857,"Yerba mate set",1,1," -2"
857,Bombilla,2,1,8
857,"Yerba mate",3,1,8
857,Kalebas,4,1,15
856,"Yerba mate set",1,1," -2"
856,Bombilla,2,1,8
856,"Yerba mate",3,1,8
856,Kalebas,4,1,15
856,Bombilla,5,1,8
854,"Yerba mate set",1,1," -2"
854,Bombilla,2,1,8
854,"Yerba mate",3,1,8
854,Kalebas,4,1,15
853,"Yerba mate",1,1,8
852,"Yerba mate set",1,1," -1.6"
852,Bombilla,2,1,6.4
852,"Yerba mate",3,1,6.4
852,Kalebas,4,1,12
851,"Yerba mate set",1,1," -1.6"
851,Bombilla,2,1,6.4
851,"Yerba mate",3,1,6.4
851,Kalebas,4,1,12
850,Kalebas,1,1,15
849,"Yerba mate set",1,1," -2"
849,Bombilla,2,1,8
849,"Yerba mate",3,1,8
849,Kalebas,4,1,15
848,"Yerba mate set compleet",1,1,38
846,"Yerba mate set",1,1," -2"
846,Bombilla,2,1,8
846,"Yerba mate",3,1,8
846,Kalebas,4,1,15
845,"Yerba mate set",1,1," -2"
845,Bombilla,2,1,8
845,"Yerba mate",3,1,8
845,Kalebas,4,1,15
844,"Yerba mate set compleet",1,1,38
843,"Yerba mate set compleet",1,1,38
842,"Yerba mate set",1,1," -2"
842,Bombilla,2,1,8
842,"Yerba mate",3,1,8
842,Kalebas,4,1,15
841,"Yerba mate set",1,1," -2"
841,Bombilla,2,1,8
841,"Yerba mate",3,1,8
841,Kalebas,4,1,15
840,"Yerba mate set",1,1," -2"
840,Bombilla,2,1,8
840,"Yerba mate",3,1,8
840,Kalebas,4,1,15
839,"Yerba mate set",1,1," -2"
839,Bombilla,2,1,8
839,"Yerba mate",3,1,8
