,ITEM TYPE,ITEM CODE,WAREHOUSE SALES,WAREHOUSE SALES,WAREHOUSE SALES,WAREHOUSE SALES,RETAIL SALES,RETAIL SALES,RETAIL SALES,RETAIL SALES,RETAIL TRANSFERS,RETAIL TRANSFERS,RETAIL TRANSFERS,RETAIL TRANSFERS
,,,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum
70,BEER,10612,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,BEER,10615,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0
72,BEER,10617,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,BEER,10643,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,BEER,10645,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.75,0.0,3.0,1.0,3.0
75,BEER,10646,2.0,12.0,6.416666666666667,57.75,0.25,2.0,1.0833333333333333,9.75,0.0,2.0,1.1111111111111112,10.0
76,BEER,10647,0.0,12.0,6.0,24.0,0.0,0.5,0.1675,0.67,0.0,2.0,0.5,2.0
77,BEER,10659,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,BEER,10662,0.0,5.0,1.6666666666666667,5.0,0.0,0.25,0.16666666666666666,0.5,-1.0,1.0,0.0,0.0
79,BEER,10684,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,BEER,10685,2.0,9.0,6.25,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,BEER,10686,1.0,6.0,3.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,BEER,10696,0.0,31.0,7.9,79.0,0.0,3.0,1.3,13.0,0.0,3.0,1.5,15.0
83,BEER,10697,0.0,21.0,5.861111111111111,52.75,0.0,3.5,1.3333333333333333,12.0,0.0,6.0,1.6666666666666667,15.0
84,BEER,10711,0.0,75.0,56.312,563.12,0.0,34.29,15.123999999999999,151.23999999999998,1.0,39.0,16.075,160.75
85,BEER,10713,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,BEER,10714,0.0,73.0,29.7,297.0,0.0,10.0,4.4,44.0,0.0,13.0,4.6,46.0
87,BEER,10715,0.0,1.0,0.25,1.0,0.0,2.5,0.8125,3.25,0.0,5.0,1.75,7.0
88,BEER,10755,1.0,9.0,3.4444444444444446,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,BEER,10756,1.0,8.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,BEER,10757,-3.0,6.0,1.625,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,BEER,10765,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,BEER,10768,1.0,7.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,BEER,10769,1.0,2.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,BEER,10771,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,BEER,10772,0.0,23.0,7.555555555555555,68.0,0.0,4.0,1.8788888888888888,16.91,0.0,7.0,2.111111111111111,19.0
96,BEER,10780,3.0,18.0,8.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,BEER,10791,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,BEER,10792,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,BEER,10797,1.0,22.0,6.5,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,BEER,10799,1.0,2.0,1.25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,BEER,10800,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,BEER,10802,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,BEER,10818,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,BEER,10819,0.0,18.0,6.0,18.0,0.0,0.85,0.34,1.02,0.0,0.0,0.0,0.0
105,BEER,10828,1.0,2.0,1.75,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,BEER,10829,2.0,9.0,4.5,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,BEER,10841,1.0,3.0,1.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,BEER,10845,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,BEER,10872,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,BEER,10876,0.0,1.0,0.5,1.0,0.0,0.08,0.04,0.08,0.0,1.0,0.5,1.0
111,BEER,10887,3.0,5.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,BEER,10888,2.0,4.0,2.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,BEER,10904,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,BEER,10905,1.0,5.0,2.2,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,BEER,10906,1.0,13.0,5.111111111111111,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,BEER,10909,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,BEER,10910,0.0,3.0,2.1,21.0,0.0,1.75,0.875,8.75,0.0,3.0,1.0,10.0
118,BEER,10913,1.0,6.0,2.7142857142857144,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,BEER,10914,0.0,5.0,2.2857142857142856,16.0,0.0,1.25,0.2857142857142857,2.0,0.0,2.0,0.42857142857142855,3.0
120,BEER,10915,0.0,6.0,1.75,14.0,0.0,1.0,0.34375,2.75,0.0,2.0,0.375,3.0
121,BEER,10916,1.0,6.0,2.2857142857142856,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,BEER,10919,0.0,3.0,1.0,6.0,0.0,1.39,0.6066666666666668,3.6400000000000006,0.0,3.0,0.6666666666666666,4.0
123,BEER,10925,1.0,2.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
